Provincia,Accesos por cada 100 hogares,Nuevo_acceso,KPI_Aumento_Acceso
Buenos Aires,79.84,79.84,0.0
Capital Federal,116.37,116.37,0.0
Catamarca,68.81,68.81,0.0
Chaco,44.06,44.9412,1.9999999999999993
Chubut,86.33,86.33,0.0
Córdoba,90.79,90.79,0.0
Corrientes,51.38,51.38,0.0
Entre Ríos,68.64,68.64,0.0
Formosa,39.69,40.483799999999995,1.9999999999999933
Jujuy,58.3,58.3,0.0
La Pampa,101.17,101.17,0.0
La Rioja,79.52,79.52,0.0
Mendoza,52.3,52.3,0.0
Misiones,57.73,57.73,0.0
Neuquén,78.93,78.93,0.0
Río Negro,71.35,71.35,0.0
Salta,55.72,55.72,0.0
San Juan,51.17,51.17,0.0
San Luis,103.4,103.4,0.0
Santa Cruz,69.92,69.92,0.0
Santa Fe,81.34,81.34,0.0
Santiago Del Estero,49.67,50.6634,2.000000000000002
Tierra Del Fuego,108.89,108.89,0.0
Tucumán,60.84,60.84,0.0
